comando_inicial,frase,direccion,velocidad,estado_silla
Silla,regresate en reversa con cuidado,atras,Lento,prendida
Silla,arrancate para enfrente a velocidad normal,adelante,Normal,prendida
Silla,pa' la derecha a velocidad normal,derecha,Normal,prendida
Silla,para la izquierda con calma,izquierda,Lento,prendida
Silla,continua hacia adelante con mas velocidad,adelante,Rapido,prendida
Silla,rueda hacia atras,atras,Normal,prendida
Silla,dobla al lado derecho suavecito,derecha,Lento,prendida
Silla,en reversa rapido,atras,Rapido,prendida
Silla,con calma en corto,velocidad,Lento,prendida
Silla,muevete para la derecha mas rapido,derecha,Rapido,prendida
Silla,ve pa' la izquierda con calma,izquierda,Lento,prendida
Silla,ve en reversa tranqui,atras,Lento,prendida
Silla,pita ahora,claxon,,prendida
Silla,camina hacia enfrente despacito,adelante,Lento,prendida
Silla,dobla para la derecha despacio,derecha,Lento,prendida
Silla,voltea para la izquierda con calma,izquierda,Lento,prendida
Silla,voltea para la izquierda normal,izquierda,Normal,prendida
Silla,para todo ya,detener,,prendida
Silla,echale para enfrente rapido,adelante,Rapido,prendida
Silla,voltea pa' la derecha a velocidad normal,derecha,Normal,prendida
Silla,claxon ahorita,claxon,,prendida
Silla,muevete de frente lento,adelante,Lento,prendida
Silla,tuerce al lado derecho suavecito,derecha,Lento,prendida
Silla,subele la velocidad,velocidad,Rapido,prendida
Silla,tuerce pa' la izquierda apurate,izquierda,Rapido,prendida
Silla,acelera en friega,velocidad,Rapido,prendida
Silla,llegale para atras con cuidado,atras,Lento,prendida
Silla,para atras apurate,atras,Rapido,prendida
Silla,continua para enfrente mas rapido,adelante,Rapido,prendida
Silla,muevete para la izquierda normal,izquierda,Normal,prendida
Silla,pa' la derecha despacito,derecha,Lento,prendida
Silla,a la derecha despacito,derecha,Lento,prendida
Silla,gira al lado izquierdo mete velocidad,izquierda,Rapido,prendida
Silla,continua al frente lento,adelante,Lento,prendida
Silla,gira pa' la derecha con mas velocidad,derecha,Rapido,prendida
Silla,echale para enfrente,adelante,Normal,prendida
Silla,continua para enfrente tranqui,adelante,Lento,prendida
Silla,rueda hacia adelante tranqui,adelante,Lento,prendida
Silla,con mas velocidad de inmediato,velocidad,Rapido,prendida
Silla,arranca ya,prender,,prendida
Silla,parate ya de inmediato,detener,,prendida
Silla,ve hacia adelante con calma,adelante,Lento,prendida
Silla,desacelera de una,velocidad,Lento,prendida
Silla,pa' la izquierda despacio,izquierda,Lento,prendida
Silla,al lado izquierdo apurate,izquierda,Rapido,prendida
Silla,tuerce a la derecha a velocidad normal,derecha,Normal,prendida
Silla,tuerce para la derecha rapido,derecha,Rapido,prendida
Silla,claxon en este momento,claxon,,prendida
Silla,echale para enfrente despacito,adelante,Lento,prendida
Silla,regresate de reversa,atras,Normal,prendida
Silla,dobla pa' la izquierda despacio,izquierda,Lento,prendida
Silla,muevete hacia adelante con mas velocidad,adelante,Rapido,prendida
Silla,ve hacia adelante suavecito,adelante,Lento,prendida
Silla,en reversa,atras,Normal,prendida
Silla,stop de una,detener,,prendida
Silla,detencion de inmediato,detener,,prendida
Silla,a velocidad normal en este momento,velocidad,Normal,prendida
Silla,rueda en reversa lento,atras,Lento,prendida
Silla,da vuelta al lado izquierdo rapido,izquierda,Rapido,prendida
Silla,echale derecho con cuidado,adelante,Lento,prendida
Silla,voltea a la derecha,derecha,Normal,prendida
Silla,continua hacia atras lento,atras,Lento,prendida
Silla,voltea hacia la izquierda con calma,izquierda,Lento,prendida
Silla,rueda para adelante,adelante,Normal,prendida
Silla,dobla al lado derecho a velocidad normal,derecha,Normal,prendida
Silla,voltea a la derecha apurate,derecha,Rapido,prendida
Silla,rueda al frente con cuidado,adelante,Lento,prendida
Silla,para enfrente mas rapido,adelante,Rapido,prendida
Silla,muevete para la izquierda lento,izquierda,Lento,prendida
Silla,aumenta la velocidad de una,velocidad,Rapido,prendida
Silla,tuerce hacia la derecha mete velocidad,derecha,Rapido,prendida
Silla,retrocede mas rapido,atras,Rapido,prendida
Silla,dobla a la derecha lento,derecha,Lento,prendida
Silla,gira hacia la izquierda despacio,izquierda,Lento,prendida
Silla,retrocede normal,atras,Normal,prendida
Silla,ve para la izquierda tranqui,izquierda,Lento,prendida
Silla,rueda para adelante suavecito,adelante,Lento,prendida
Silla,rueda para adelante con calma,adelante,Lento,prendida
Silla,sigue pa' atras,atras,Normal,prendida
Silla,sigue para enfrente,adelante,Normal,prendida
Silla,ponte en reversa despacio,atras,Lento,prendida
Silla,dale hacia atras despacito,atras,Lento,prendida
Silla,al lado izquierdo tranqui,izquierda,Lento,prendida
Silla,ve al lado derecho con calma,derecha,Lento,prendida
Silla,camina hacia enfrente rapido,adelante,Rapido,prendida
Silla,voltea a la izquierda suavecito,izquierda,Lento,prendida
Silla,muevete al frente despacio,adelante,Lento,prendida
Silla,muevete de reversa apurate,atras,Rapido,prendida
Silla,dobla a la derecha tranqui,derecha,Lento,prendida
Silla,muevete para la derecha,derecha,Normal,prendida
Silla,subele la velocidad en corto,velocidad,Rapido,prendida
Silla,gira hacia la derecha tranqui,derecha,Lento,prendida
Silla,ve hacia adelante mete velocidad,adelante,Rapido,prendida
Silla,gira hacia la derecha rapido,derecha,Rapido,prendida
Silla,llegale hacia atras tranqui,atras,Lento,prendida
Silla,a la derecha suavecito,derecha,Lento,prendida
Silla,llegale de reversa rapido,atras,Rapido,prendida
Silla,apaga,apagar,,apagada
Silla,hacia adelante con calma,adelante,Lento,prendida
Silla,arrancate para adelante mas rapido,adelante,Rapido,prendida
Silla,voltea para la derecha mas rapido,derecha,Rapido,prendida
Silla,tuerce al lado izquierdo suavecito,izquierda,Lento,prendida
Silla,gira hacia la izquierda,izquierda,Normal,prendida
Silla,quedate quieta de inmediato,detener,,prendida
Silla,al lado derecho con cuidado,derecha,Lento,prendida
Silla,sigue al frente despacito,adelante,Lento,prendida
Silla,da vuelta para la izquierda con mas velocidad,izquierda,Rapido,prendida
Silla,hacia la izquierda con cuidado,izquierda,Lento,prendida
Silla,pa' la izquierda suavecito,izquierda,Lento,prendida
Silla,da vuelta al lado izquierdo con calma,izquierda,Lento,prendida
Silla,reduce la velocidad,velocidad,Lento,prendida
Silla,dobla a la izquierda lento,izquierda,Lento,prendida
Silla,ponte en reversa ponte en reversa,atras,Normal,prendida
Silla,para adelante normal,adelante,Normal,prendida
Silla,haz alto de inmediato,detener,,prendida
Silla,gira al lado derecho suavecito,derecha,Lento,prendida
Silla,dale para adelante con calma,adelante,Lento,prendida
Silla,gira al lado izquierdo despacito,izquierda,Lento,prendida
Silla,al frente,adelante,Normal,prendida
Silla,quedate de una,detener,,prendida
Silla,a la derecha con mas velocidad,derecha,Rapido,prendida
Silla,sigue hacia adelante,adelante,Normal,prendida
Silla,dale para enfrente,adelante,Normal,prendida
Silla,regresate mas rapido,atras,Rapido,prendida
Silla,da vuelta a la derecha apurate,derecha,Rapido,prendida
Silla,de frente con calma,adelante,Lento,prendida
Silla,a la derecha lento,derecha,Lento,prendida
Silla,mas rapido en este momento,velocidad,Rapido,prendida
Silla,ve de reversa,atras,Normal,prendida
Silla,derecho mas rapido,adelante,Rapido,prendida
Silla,para atras,atras,Normal,prendida
Silla,prende,prender,,prendida
Silla,dobla para la derecha lento,derecha,Lento,prendida
Silla,hacia la derecha tranqui,derecha,Lento,prendida
Silla,gira pa' la izquierda despacio,izquierda,Lento,prendida
Silla,muevete hacia la derecha,derecha,Normal,prendida
Silla,da vuelta hacia la derecha rapido,derecha,Rapido,prendida
Silla,gira hacia la derecha normal,derecha,Normal,prendida
Silla,voltea a la izquierda lento,izquierda,Lento,prendida
Silla,sigue derecho apurate,adelante,Rapido,prendida
Silla,tuerce a la izquierda,izquierda,Normal,prendida
Silla,para en friega,detener,,prendida
Silla,al frente a velocidad normal,adelante,Normal,prendida
Silla,dobla a la izquierda a velocidad normal,izquierda,Normal,prendida
Silla,en reversa con calma,atras,Lento,prendida
Silla,gira a la derecha con mas velocidad,derecha,Rapido,prendida
Silla,dobla hacia la izquierda mas rapido,izquierda,Rapido,prendida
Silla,arrancate hacia adelante lento,adelante,Lento,prendida
Silla,dale derecho con mas velocidad,adelante,Rapido,prendida
Silla,ponte en reversa tranqui,atras,Lento,prendida
Silla,da vuelta pa' la derecha apurate,derecha,Rapido,prendida
Silla,pa' atras con mas velocidad,atras,Rapido,prendida
Silla,voltea para la derecha con mas velocidad,derecha,Rapido,prendida
Silla,dale pa' atras despacito,atras,Lento,prendida
Silla,a la derecha con cuidado,derecha,Lento,prendida
Silla,avanza despacio,adelante,Lento,prendida
Silla,continua de reversa mas rapido,atras,Rapido,prendida
Silla,para todo,detener,,prendida
Silla,bajale la velocidad ya,velocidad,Lento,prendida
Silla,al lado derecho a velocidad normal,derecha,Normal,prendida
Silla,avanza tranqui,adelante,Lento,prendida
Silla,echale pa' atras,atras,Normal,prendida
Silla,derecho despacio,adelante,Lento,prendida
Silla,gira al lado izquierdo con mas velocidad,izquierda,Rapido,prendida
Silla,muevete en reversa tranqui,atras,Lento,prendida
Silla,alto en caliente,detener,,prendida
Silla,alto en corto,detener,,prendida
Silla,en reversa lento,atras,Lento,prendida
Silla,arrancate hacia atras con cuidado,atras,Lento,prendida
Silla,da vuelta hacia la izquierda despacio,izquierda,Lento,prendida
Silla,continua de frente normal,adelante,Normal,prendida
Silla,para la derecha con mas velocidad,derecha,Rapido,prendida
Silla,ve para la izquierda mete velocidad,izquierda,Rapido,prendida
Silla,parale de una,detener,,prendida
Silla,prende de una,prender,,prendida
Silla,rueda para enfrente apurate,adelante,Rapido,prendida
Silla,para la izquierda mete velocidad,izquierda,Rapido,prendida
Silla,voltea hacia la izquierda despacito,izquierda,Lento,prendida
Silla,rueda al frente,adelante,Normal,prendida
Silla,da vuelta pa' la izquierda tranqui,izquierda,Lento,prendida
Silla,da vuelta a la derecha con cuidado,derecha,Lento,prendida
Silla,voltea hacia la izquierda apurate,izquierda,Rapido,prendida
Silla,sigue para atras mete velocidad,atras,Rapido,prendida
Silla,ve para enfrente apurate,adelante,Rapido,prendida
Silla,desacelera en corto,velocidad,Lento,prendida
Silla,da vuelta a la derecha suavecito,derecha,Lento,prendida
Silla,ve al lado derecho con mas velocidad,derecha,Rapido,prendida
Silla,ve en reversa lento,atras,Lento,prendida
Silla,quedate ya,detener,,prendida
Silla,rueda hacia atras rapido,atras,Rapido,prendida
Silla,da vuelta a la derecha,derecha,Normal,prendida
Silla,echale para adelante apurate,adelante,Rapido,prendida
Silla,para ahorita,detener,,prendida
Silla,voltea para la izquierda,izquierda,Normal,prendida
Silla,mete mas velocidad,velocidad,Rapido,prendida
Silla,sigue al frente mas rapido,adelante,Rapido,prendida
Silla,continua pa' atras con mas velocidad,atras,Rapido,prendida
Silla,hacia la izquierda,izquierda,Normal,prendida
Silla,tuerce al lado derecho mas rapido,derecha,Rapido,prendida
Silla,llegale al frente mas rapido,adelante,Rapido,prendida
Silla,modo normal ahorita,velocidad,Normal,prendida
Silla,para enfrente tranqui,adelante,Lento,prendida
Silla,para enfrente lento,adelante,Lento,prendida
Silla,de reversa lento,atras,Lento,prendida
Silla,hacia la izquierda normal,izquierda,Normal,prendida
Silla,subele la velocidad ahorita,velocidad,Rapido,prendida
Silla,arrancate derecho suavecito,adelante,Lento,prendida
Silla,muevete pa' la izquierda con mas velocidad,izquierda,Rapido,prendida
Silla,reduce la velocidad de una,velocidad,Lento,prendida
Silla,prende en este momento,prender,,prendida
Silla,derecho normal,adelante,Normal,prendida
Silla,dobla hacia la derecha rapido,derecha,Rapido,prendida
Silla,con calma ahorita,velocidad,Lento,prendida
Silla,desacelera de inmediato,velocidad,Lento,prendida
Silla,voltea pa' la derecha suavecito,derecha,Lento,prendida
Silla,hacia adelante suavecito,adelante,Lento,prendida
Silla,echale para atras mas rapido,atras,Rapido,prendida
Silla,ve hacia la derecha suavecito,derecha,Lento,prendida
Silla,hazte para atras suavecito,atras,Lento,prendida
Silla,retrocede suavecito,atras,Lento,prendida
Silla,hacia la derecha mas rapido,derecha,Rapido,prendida
Silla,regresate para atras mete velocidad,atras,Rapido,prendida
Silla,gira para la izquierda,izquierda,Normal,prendida
Silla,hacia la derecha rapido,derecha,Rapido,prendida
Silla,rueda derecho despacio,adelante,Lento,prendida
Silla,muevete hacia atras,atras,Normal,prendida
Silla,muevete hacia la derecha apurate,derecha,Rapido,prendida
Silla,apagate ahorita,apagar,,apagada
Silla,muevete a la izquierda con calma,izquierda,Lento,prendida
Silla,da vuelta a la izquierda rapido,izquierda,Rapido,prendida
Silla,avanza normal,adelante,Normal,prendida
Silla,retrocede apurate,atras,Rapido,prendida
Silla,para de golpe,detener,,prendida
Silla,da vuelta al lado derecho,derecha,Normal,prendida
Silla,muevete al lado derecho despacito,derecha,Lento,prendida
Silla,ve al lado izquierdo despacio,izquierda,Lento,prendida
Silla,pa' la izquierda apurate,izquierda,Rapido,prendida
Silla,camina hacia enfrente,adelante,Normal,prendida
Silla,muevete a la izquierda,izquierda,Normal,prendida
Silla,dobla para la izquierda mas rapido,izquierda,Rapido,prendida
Silla,no tan rapido de una,velocidad,Lento,prendida
Silla,tuerce pa' la derecha normal,derecha,Normal,prendida
Silla,muevete hacia la derecha lento,derecha,Lento,prendida
Silla,continua para adelante mas rapido,adelante,Rapido,prendida
Silla,en reversa normal,atras,Normal,prendida
Silla,dobla hacia la derecha a velocidad normal,derecha,Normal,prendida
Silla,pita ya,claxon,,prendida
Silla,dale derecho mete velocidad,adelante,Rapido,prendida
Silla,dale derecho,adelante,Normal,prendida
Silla,para la izquierda despacito,izquierda,Lento,prendida
Silla,sigue de frente apurate,adelante,Rapido,prendida
Silla,tuerce para la izquierda despacio,izquierda,Lento,prendida
Silla,pa' atras rapido,atras,Rapido,prendida
Silla,hacia la derecha,derecha,Normal,prendida
Silla,dale pa' atras mete velocidad,atras,Rapido,prendida
Silla,dobla a la izquierda con calma,izquierda,Lento,prendida
Silla,da vuelta pa' la izquierda apurate,izquierda,Rapido,prendida
Silla,hacia la izquierda a velocidad normal,izquierda,Normal,prendida
Silla,corta en caliente,detener,,prendida
Silla,a la derecha a velocidad normal,derecha,Normal,prendida
Silla,regresate de reversa a velocidad normal,atras,Normal,prendida
Silla,al lado derecho,derecha,Normal,prendida
Silla,dobla hacia la izquierda tranqui,izquierda,Lento,prendida
Silla,para la derecha mete velocidad,derecha,Rapido,prendida
Silla,ve para atras,atras,Normal,prendida
Silla,voltea a la izquierda con calma,izquierda,Lento,prendida
Silla,echale derecho a velocidad normal,adelante,Normal,prendida
Silla,sigue para atras apurate,atras,Rapido,prendida
Silla,echale pa' atras mas rapido,atras,Rapido,prendida
Silla,modo normal ahora,velocidad,Normal,prendida
Silla,ve hacia adelante con mas velocidad,adelante,Rapido,prendida
Silla,echale al frente apurate,adelante,Rapido,prendida
Silla,tuerce al lado izquierdo,izquierda,Normal,prendida
Silla,gira pa' la derecha a velocidad normal,derecha,Normal,prendida
Silla,ve para adelante mas rapido,adelante,Rapido,prendida
Silla,a velocidad normal de una,velocidad,Normal,prendida
Silla,para atras despacito,atras,Lento,prendida
Silla,para por completo,detener,,prendida
Silla,de frente tranqui,adelante,Lento,prendida
Silla,muevete de reversa suavecito,atras,Lento,prendida
Silla,voltea pa' la derecha mas rapido,derecha,Rapido,prendida
Silla,claxon ahorita,claxon,,prendida
Silla,dobla a la derecha despacio,derecha,Lento,prendida
Silla,con calma,velocidad,Lento,prendida
Silla,sigue hacia atras lento,atras,Lento,prendida
Silla,arrancate hacia atras con calma,atras,Lento,prendida
Silla,ve de reversa mete velocidad,atras,Rapido,prendida
Silla,dale hacia atras,atras,Normal,prendida
Silla,voltea hacia la izquierda tranqui,izquierda,Lento,prendida
Silla,para la derecha apurate,derecha,Rapido,prendida
Silla,voltea hacia la derecha apurate,derecha,Rapido,prendida
Silla,a la izquierda apurate,izquierda,Rapido,prendida
Silla,dale pa' atras suavecito,atras,Lento,prendida
Silla,claxon de inmediato,claxon,,prendida
Silla,de reversa,atras,Normal,prendida
Silla,hacia la izquierda suavecito,izquierda,Lento,prendida
Silla,muevete para atras,atras,Normal,prendida
Silla,corta ya de una,detener,,prendida
Silla,despacio,velocidad,Lento,prendida
Silla,tuerce hacia la derecha,derecha,Normal,prendida
Silla,tuerce hacia la derecha con cuidado,derecha,Lento,prendida
Silla,para,detener,,prendida
Silla,tuerce al lado izquierdo con cuidado,izquierda,Lento,prendida
Silla,regresate hacia atras despacio,atras,Lento,prendida
Silla,continua para adelante a velocidad normal,adelante,Normal,prendida
Silla,arrancate en reversa,atras,Normal,prendida
Silla,da vuelta al lado derecho despacio,derecha,Lento,prendida
Silla,rueda para adelante a velocidad normal,adelante,Normal,prendida
Silla,da vuelta a la izquierda con cuidado,izquierda,Lento,prendida
Silla,inicia de inmediato,prender,,prendida
Silla,tuerce pa' la derecha,derecha,Normal,prendida
Silla,tuerce al lado derecho despacio,derecha,Lento,prendida
Silla,a velocidad normal,velocidad,Normal,prendida
Silla,muevete para atras despacito,atras,Lento,prendida
Silla,rueda para enfrente mas rapido,adelante,Rapido,prendida
Silla,ve a la derecha apurate,derecha,Rapido,prendida
Silla,dale hacia atras rapido,atras,Rapido,prendida
Silla,llegale en reversa rapido,atras,Rapido,prendida
Silla,rueda hacia adelante a velocidad normal,adelante,Normal,prendida
Silla,echale para atras,atras,Normal,prendida
Silla,retrocede a velocidad normal,atras,Normal,prendida
Silla,dale de reversa mas rapido,atras,Rapido,prendida
Silla,con cuidado,velocidad,Lento,prendida
Silla,dale hacia adelante,adelante,Normal,prendida
Silla,ponte quieta ahora,detener,,prendida
Silla,rueda de frente mas rapido,adelante,Rapido,prendida
Silla,sigue derecho con calma,adelante,Lento,prendida
Silla,da marcha atras tranqui,atras,Lento,prendida
Silla,de frente apurate,adelante,Rapido,prendida
Silla,ve para la izquierda despacito,izquierda,Lento,prendida
Silla,voltea al lado derecho mas rapido,derecha,Rapido,prendida
Silla,llegale hacia adelante lento,adelante,Lento,prendida
Silla,hacia la derecha con calma,derecha,Lento,prendida
Silla,al lado izquierdo lento,izquierda,Lento,prendida
Silla,para atras rapido,atras,Rapido,prendida
Silla,dale de reversa rapido,atras,Rapido,prendida
Silla,para de una,detener,,prendida
Silla,desacelera ahorita,velocidad,Lento,prendida
Silla,pa' atras,atras,Normal,prendida
Silla,muevete pa' la derecha despacito,derecha,Lento,prendida
Silla,claxon ya,claxon,,prendida
Silla,ve hacia atras,atras,Normal,prendida
Silla,muevete en reversa mete velocidad,atras,Rapido,prendida
Silla,corta en friega,detener,,prendida
Silla,ve a la izquierda con cuidado,izquierda,Lento,prendida
Silla,gira a la izquierda despacio,izquierda,Lento,prendida
Silla,para todo en corto,detener,,prendida
Silla,continua derecho normal,adelante,Normal,prendida
Silla,tuerce a la derecha tranqui,derecha,Lento,prendida
Silla,muevete para la izquierda rapido,izquierda,Rapido,prendida
Silla,gira a la derecha mete velocidad,derecha,Rapido,prendida
Silla,dobla a la derecha a velocidad normal,derecha,Normal,prendida
Silla,arrancate para atras apurate,atras,Rapido,prendida
Silla,pa' la derecha suavecito,derecha,Lento,prendida
Silla,sigue de frente con mas velocidad,adelante,Rapido,prendida
Silla,a la derecha con calma,derecha,Lento,prendida
Silla,continua para adelante normal,adelante,Normal,prendida
Silla,llegale pa' atras tranqui,atras,Lento,prendida
Silla,rueda para atras rapido,atras,Rapido,prendida
Silla,llegale hacia adelante apurate,adelante,Rapido,prendida
Silla,reduce la velocidad en corto,velocidad,Lento,prendida
Silla,dobla a la izquierda,izquierda,Normal,prendida
Silla,ponte quieta en caliente,detener,,prendida
Silla,apaga en corto,apagar,,apagada
Silla,voltea al lado derecho despacio,derecha,Lento,prendida
Silla,gira para la derecha despacito,derecha,Lento,prendida
Silla,ve a la izquierda tranqui,izquierda,Lento,prendida
Silla,acelera de inmediato,velocidad,Rapido,prendida
Silla,dale hacia atras apurate,atras,Rapido,prendida
Silla,arrancate para adelante,adelante,Normal,prendida
Silla,ponte en reversa suavecito,atras,Lento,prendida
Silla,arrancate en reversa normal,atras,Normal,prendida
Silla,gira hacia la derecha despacito,derecha,Lento,prendida
Silla,sigue derecho con cuidado,adelante,Lento,prendida
Silla,rueda al frente despacio,adelante,Lento,prendida
Silla,detente por completo,detener,,prendida
Silla,hacia atras a velocidad normal,atras,Normal,prendida
Silla,voltea para la derecha,derecha,Normal,prendida
Silla,cierra ahora,apagar,,apagada
Silla,voltea a la derecha despacio,derecha,Lento,prendida
Silla,voltea a la izquierda a velocidad normal,izquierda,Normal,prendida
Silla,echale de reversa mete velocidad,atras,Rapido,prendida
Silla,arrancate de frente,adelante,Normal,prendida
Silla,sigue al frente rapido,adelante,Rapido,prendida
Silla,quieta ya,detener,,prendida
Silla,llegale hacia adelante,adelante,Normal,prendida
Silla,muevete de frente normal,adelante,Normal,prendida
Silla,rueda pa' atras,atras,Normal,prendida
Silla,da vuelta pa' la derecha lento,derecha,Lento,prendida
Silla,rueda para adelante mete velocidad,adelante,Rapido,prendida
Silla,pa' atras normal,atras,Normal,prendida
Silla,a la derecha,derecha,Normal,prendida
Silla,ve para la derecha,derecha,Normal,prendida
