estado_accion,estado_velocidad,frase,accion,velocidad
adelante,rapido,SILLA DERECHA,adelante + derecha,rapido
prendida,rapido,no tan rapido en friega,null,lenta
prendida,normal,a velocidad normal de una,null,normal
prendida,normal,pa enfrente,adelante,null
adelante + derecha,lenta,pa enfrente,adelante,lenta
adelante + izquierda,rapido,silla derecha,adelante,rapido
prendida,detenida,con mas velocidad en este momento,null,rapido
adelante + derecha,detenida,silla izquierda,adelante,detenida
apagado,detenida,prende de inmediato,prender,detenida
prendida,detenida,apaga en friega,apagar,detenida
prendida,detenida,para enfrente,adelante,null
adelante + izquierda,lenta,voltea a la derecha,adelante,lenta
prendida,detenida,izquierda ya??,izquierda,null
prendida,detenida,DOBLA A LA DERECHA A VELOCIDAD NORMAL,derecha,normal
apagado,detenida,inicia de inmediato,prender,detenida
adelante + izquierda,detenida,derecha,adelante,detenida
prendida,detenida,avanza,adelante,null
prendida,detenida,silla derecha?,derecha,null
derecha,normal,acelera de inmediato,derecha,rapido
prendida,detenida,vamos adelante,adelante,null
adelante,detenida,izquierda,adelante + izquierda,detenida
prendida,detenida,apaga ya,apagar,detenida
prendida,lenta,ve despacio ahorita?,null,lenta
adelante + izquierda,normal,derecha.,adelante,normal
prendida,normal,desacelera ahorita!!,null,lenta
prendida,detenida,gira al lado izquierdo apurate,izquierda,rapido
prendida,rapido,NO tan rAPIdO de uNa,null,lenta
prendida,lenta,PA ENFRENTE,adelante,null
adelante,normal,voltea a la izquierda,adelante + izquierda,normal
apagado,detenida,PRENDETE AHORA!,prender,detenida
prendida,detenida,DespACito??,null,lenta
adelante + izquierda,rapido,Gira A La Derecha,adelante,rapido
adelante,rapido,gira a la derecha,adelante + derecha,rapido
adelante + derecha,lenta,a la izquierda!!,adelante,lenta
adelante,lenta,Subele La Velocidad Ya.,adelante,rapido
prendida,detenida,voltea a la derecha,derecha,null
adelante + derecha,lenta,para enfrente,adelante,lenta
apagado,detenida,enciendete,prender,detenida
prendida,detenida,apaga la silla,apagar,detenida
derecha,lenta,mas lento en este momento?,derecha,lenta
adelante,normal,baJALe La vElociDad dE inmEdiato,adelante,lenta
prendida,detenida,echale derecho,adelante,normal
prendida,detenida,para enfreNte,adelante,null
apagado,detenida,activate de una,prender,detenida
prendida,detenida,desconectate de inmediato,apagar,detenida
adelante,lenta,voltea a la derecha,adelante + derecha,lenta
adelante,rapido,a la derecha,adelante + derecha,rapido
prendida,detenida,apaga de una,apagar,detenida
apagado,detenida,prender,prender,detenida
prendida,detenida,DESACTIVATE AHORA,apagar,detenida
adelante + izquierda,rapido,derecha,adelante,rapido
prendida,detenida,llegale para enfrente rapido,adelante,rapido
adelante + derecha,rapido,izquierda ya?,adelante,rapido
prendida,rapido,DiSminUyE La velocidaD,null,normal
prendida,detenida,sigue de frente con calma,adelante,lenta
adelante,rapido,A LA DERECHA,adelante + derecha,rapido
adelante,normal,acelera de una,adelante,rapido
apagado,detenida,inicia en friega,prender,detenida
apagado,detenida,pREnde en este mOmento,prender,detenida
prendida,detenida,BAJA LA VELOCIDAD,null,lenta
prendida,detenida,MUEVETE HACIA ADELANTE DESPACIO,adelante,lenta
adelante,rapido,siLla iZqUIerDA?,adelante + izquierda,rapido
prendida,detenida,llegale al frEnte mas raPIDo,adelante,rapido
prendida,detenida,A LA DERECHA,derecha,null
adelante + derecha,lenta,avanza,adelante,lenta
adelante,rapido,GIRA A LA DERECHA?,adelante + derecha,rapido
adelante + izquierda,rapido,avanza,adelante,rapido
adelante,normal,deRecHa,adelante + derecha,normal
prendida,detenida,vamos adelante,adelante,null
adelante + izquierda,lenta,vamos adelante,adelante,lenta
apagado,detenida,prende ahora,prender,detenida
prendida,normal,subele la velocidad ahorita,null,rapido
adelante + derecha,normal,izquierda,adelante,normal
prendida,detenida,arrancate para enfrente,adelante,normal
adelante,lenta,DESACELERA DE INMEDIATO!,adelante,lenta
prendida,normal,modo normal ahorita,null,normal
prendida,detenida,dale adelante lento,adelante,lenta
prendida,detenida,ve al frente lento?,adelante,lenta
prendida,rapido,Mas rapIdo en estE mOmentO,null,rapido
prendida,normal,con mas velocidad en corto,null,rapido
adelante,normal,Mas Lento En Este Momento...,adelante,lenta
adelante,normal,izquierda,adelante + izquierda,normal
derecha,lenta,aumenta la velocidad en este momento...,derecha,rapido
adelante + derecha,normal,gira a la izquierda,adelante,normal
adelante,lenta,DeRecha,adelante + derecha,lenta
adelante,detenida,a velocidad normal en este momento,adelante,normal
apagado,detenida,inicia en friega,prender,detenida
izquierda,rapido,mete mas velocidad en este momento,izquierda,rapido
prendida,detenida,hacia la izquierda rapido,izquierda,rapido
adelante + derecha,lenta,a la izquierda,adelante,lenta
adelante,normal,GIRA A LA DERECHA,adelante + derecha,normal
prendida,detenida,Muevete Adelante,adelante,null
adelante + izquierda,lenta,derecha,adelante,lenta
prendida,detenida,vamos adelante?,adelante,null
prendida,normal,pa enfrente...,adelante,null
adelante + derecha,normal,VOLTEA A LA IZQUIERDA,adelante,normal
prendida,detenida,izquierda,izquierda,null
adelante + derecha,rapido,a la izquierda,adelante,rapido
izquierda,detenida,apurate??,izquierda,rapido
prendida,detenida,PaRa ENfrEntE modo normal,adelante,normal
prendida,lenta,lenta,null,lenta
prendida,detenida,muevete adelante,adelante,null
apagado,detenida,arranca ahorita,prender,detenida
adelante,lenta,girA A la izquIeRDa,adelante + izquierda,lenta
adelante,detenida,mete mas velocidad en este momento,adelante,rapido
adelante,rapido,reduce la velocidad??,adelante,lenta
prendida,detenida,baja a normal,null,normal
adelante,rapido,con calma de inmediato??,adelante,lenta
prendida,detenida,llegale para enfrente con calma,adelante,lenta
adelante,rapido,a la izquierda.,adelante + izquierda,rapido
prendida,rapido,modo normal ahora,null,normal
prendida,detenida,Ve Hacia Adelante Con Calma,adelante,lenta
prendida,lenta,avanza?,adelante,null
prendida,detenida,rueda derecho,adelante,normal
adelante,rapido,Derecha Ya,adelante + derecha,rapido
adelante + izquierda,normal,pA enFrenTe??,adelante,normal
prendida,detenida,muevete adelante!!,adelante,null
prendida,detenida,dale adelante normal,adelante,normal
prendida,rapido,aumenta la velocidad en este momento,null,rapido
adelante,detenida,con calma en friega,adelante,lenta
adelante,rapido,a velOcidad normal de uNa,adelante,normal
adelante,normal,velocidad normal,adelante,normal
prendida,rapido,ReDuce La velocidAD En friegA,null,lenta
adelante,rapido,DERECHA YA,adelante + derecha,rapido
adelante,lenta,voltea a la izquierda,adelante + izquierda,lenta
adelante,rapido,izquierda.,adelante + izquierda,rapido
prendida,rapido,Subele La Velocidad En Friega,null,rapido
prendida,normal,mete mas velocidad ahora,null,rapido
prendida,detenida,CONTINUA AL FRENTE CON MAS VELOCIDAD,adelante,rapido
prendida,detenida,avaNza,adelante,null
adelante + derecha,lenta,a la izquierda,adelante,lenta
prendida,detenida,izqUierda,izquierda,null
izquierda,lenta,mas rapido de una?,izquierda,rapido
prendida,detenida,Derecha,derecha,null
prendida,detenida,apaga,apagar,detenida
adelante + derecha,rapido,echale para enfrente,adelante,rapido
adelante + izquierda,lenta,derecha,adelante,lenta
adelante + izquierda,rapido,ECHALE PARA ENFRENTE,adelante,rapido
adelante,normal,voltea a la izquierda,adelante + izquierda,normal
prendida,detenida,apaga en este momento,apagar,detenida
adelante,normal,derecha ya,adelante + derecha,normal
adelante + derecha,lenta,vamos adelante,adelante,lenta
adelante,lenta,izquierda ya??,adelante + izquierda,lenta
prendida,detenida,derecho lento...,adelante,lenta
adelante,rapido,izquierda ya,adelante + izquierda,rapido
adelante,normal,gira a la derecha,adelante + derecha,normal
apagado,detenida,enciendete de una,prender,detenida
adelante + derecha,lenta,Muevete Adelante!!,adelante,lenta
apagado,detenida,prender,prender,detenida
prendida,detenida,a la derecha,derecha,null
adelante + derecha,rapido,pa enfrente,adelante,rapido
adelante,detenida,izquierda!!,adelante + izquierda,detenida
prendida,detenida,ve Al frenTe Lento,adelante,lenta
prendida,rapido,manten velocidad normal ahora,null,normal
prendida,detenida,VE AL LADO DERECHO,derecha,normal
prendida,detenida,avanza,adelante,null
adelante,lenta,gira a la izquierda.,adelante + izquierda,lenta
prendida,detenida,desconectate en corto,apagar,detenida
prendida,rapido,Modo Normal Ahora,null,normal
adelante + derecha,normal,Voltea A La Izquierda,adelante,normal
prendida,normal,dale adelante,adelante,null
prendida,detenida,da vuelta hacia la derecha con mas velocidad,derecha,rapido
prendida,detenida,echale al frente tranqui??,adelante,lenta
prendida,lenta,normal en friega,null,normal
prendida,detenida,derecha,derecha,null
adelante,normal,izquierda ya,adelante + izquierda,normal
adelante,normal,izquierda,adelante + izquierda,normal
prendida,detenida,cierra en friega,apagar,detenida
adelante,lenta,gira a la derecha,adelante + derecha,lenta
adelante,lenta,derecha,adelante + derecha,lenta
prendida,normal,adelante,adelante,null
prendida,detenida,desactivAte Ahora,apagar,detenida
prendida,detenida,ve a la izquierda mas rapido,izquierda,rapido
prendida,detenida,Bajale La Velocidad De Una,null,lenta
prendida,detenida,Adelantate A Velocidad Normal,adelante,normal
adelante + derecha,normal,pa enfrente,adelante,normal
prendida,detenida,rueda para adelante con calma,adelante,lenta
prendida,normal,MUEVETE ADELANTE,adelante,null
adelante,normal,modo normal,adelante,normal
prendida,normal,bajale la velocidad ya,null,lenta
prendida,detenida,muevete adelante,adelante,null
prendida,detenida,continua para adelante,adelante,normal
apagado,detenida,PreNder,prender,detenida
adelante,detenida,a la izquierda,adelante + izquierda,detenida
prendida,detenida,apagate de una,apagar,detenida
prendida,detenida,avanza con cuidado,adelante,lenta
adelante,rapido,derecha ya,adelante + derecha,rapido
prendida,detenida,a velocidad normal ya,null,normal
adelante,normal,izquierda ya,adelante + izquierda,normal
adelante + derecha,rapido,para enfrente??,adelante,rapido
prendida,detenida,apagate,apagar,detenida
adelante,normal,mas Lento,adelante,lenta
adelante + izquierda,rapido,vamoS adELante?,adelante,rapido
prendida,detenida,para enfrente mas rapido,adelante,rapido
prendida,detenida,izquierda...,izquierda,null
prendida,detenida,sigue derecho lento!,adelante,lenta
prendida,detenida,ECHALE AL FRENTE MAS RAPIDO,adelante,rapido
adelante,normal,izquierda ya,adelante + izquierda,normal
prendida,detenida,para enfrente lento,adelante,lenta
adelante,normal,giRa A la izqUIERda,adelante + izquierda,normal
prendida,detenida,dale derecho mete velocidad,adelante,rapido
prendida,detenida,adelantate despacito,adelante,lenta
adelante,normal,Normal En FriEga,adelante,normal
prendida,detenida,DESCONECTATE EN CORTO,apagar,detenida
prendida,normal,adelante!,adelante,null
adelante + izquierda,rapido,derecha ya,adelante,rapido
derecha,rapido,ve despacio en este momento,derecha,lenta
adelante,normal,Subele La Velocidad Ahorita,adelante,rapido
adelante,normal,A LA IZQUIERDA,adelante + izquierda,normal
prendida,rapido,Para Enfrente,adelante,null
apagado,detenida,enciendete de una,prender,detenida
prendida,normal,con calma de una,null,lenta
prendida,detenida,GIRA A LA IZQUIERDA LENTA,izquierda,lenta
adelante,lenta,a la derecha,adelante + derecha,lenta
adelante + derecha,lenta,volTea a lA izquieRda,adelante,lenta
apagado,detenida,prende la silla,prender,detenida
prendida,detenida,gira a la IZquierda,izquierda,null
prendida,rapido,a velocidad normal,null,normal
adelante,rapido,con calma!,adelante,lenta
prendida,rapido,disminuye la velocidad,null,normal
adelante + izquierda,normal,muevete adelante,adelante,normal
prendida,detenida,rUeda dE Frente Apurate,adelante,rapido
adelante + izquierda,normal,silla adelante,adelante,normal
adelante,normal,a la izquierda,adelante + izquierda,normal
apagado,detenida,activate de una,prender,detenida
prendida,detenida,a la derecha con calma,derecha,lenta
apagado,detenida,enciendete,prender,detenida
adelante,lenta,voltea a la izquierda,adelante + izquierda,lenta
adelante,detenida,mete mas velocidad ahora,adelante,rapido
prendida,rapido,vamos adelante,adelante,null
adelante,normal,mas rapido,adelante,rapido
izquierda,detenida,reduce la velocidad ya,izquierda,lenta
apagado,detenida,enciende ya!!,prender,detenida
prendida,detenida,al frente con cuidado,adelante,lenta
adelante + derecha,lenta,muevete adelante,adelante,lenta
prendida,detenida,silla adelante,adelante,null
adelante,rapido,velocidad normal en friega...,adelante,normal
