estado_accion,estado_velocidad,frase,accion,velocidad
atras,detenida,con calma!!,atras,lenta
atras,detenida,sillA suavecito,atras,lenta
apagado,detenida,por favor enciende en corto,prender,detenida
adelante,rapido,oye gira a la izquierda,adelante + izquierda,rapido
adelante + derecha,normal,Oye Gira A La Izquierda Ya!!,adelante,normal
adelante,lenta,Por Favor Gira Derecha,adelante + derecha,lenta
prendida,detenida,dale de frente normal ahora,adelante,normal
prendida,rapido,modo normal,null,normal
adelante,detenida,con mas velocidad,adelante,rapido
prendida,detenida,desCansa,apagar,detenida
adelante,rapido,heY volTea a La izquierda,adelante + izquierda,rapido
adelante,normal,por favor mueve a la derecha,adelante + derecha,normal
atras,detenida,ponlo normal,atras,normal
prendida,rapido,reduce un poco la velocidad ahora,null,normal
adelante + izquierda,rapido,gira derecha,adelante,rapido
prendida,detenida,Silla Desconectate Ahora Ya,apagar,detenida
prendida,rapido,SILLA MODO NORMAL AHORITA AHORA!,null,normal
adelante,lenta,velocidad normal ahora!!,adelante,normal
apagado,detenida,oye inicia en friega!,prender,detenida
derecha,lenta,a velocidad normal de una,derecha,normal
adelante + derecha,lenta,pa enfrente ahora!!,adelante,lenta
prendida,detenida,hey sigue al frente rapido,adelante,rapido
prendida,detenida,silla pa atras ahora,atras,null
prendida,lenta,con calma ahorita,null,lenta
prendida,lenta,no tan rapido de una,null,lenta
adelante + izquierda,lenta,por favor voltea a la derecha.,adelante,lenta
adelante,rapido,oye mueve a la derecha ahora,adelante + derecha,rapido
prendida,lenta,Pa Enfrente Ya,adelante,null
prendida,detenida,pa' atras tranqui,atras,lenta
prendida,detenida,oye arrancate para atras apurate,atras,rapido
prendida,normal,adelante por favor,adelante,null
adelante,lenta,voltea a la izquierda,adelante + izquierda,lenta
apagado,detenida,Oye Activate En Corto,prender,detenida
prendida,lenta,ve despacio ahorita,null,lenta
prendida,detenida,oye gira a la izquierda,izquierda,null
prendida,detenida,oye dale derecho con mas velocidad,adelante,rapido
adelante,lenta,hey voltea a la derecha ya,adelante + derecha,lenta
adelante + izquierda,rapido,oye dobla a la derecha,adelante,rapido
prendida,detenida,mueve a la izquierda,izquierda,null
atras,detenida,SILLA AUMENTA LA VELOCIDAD YA,atras,rapido
prendida,lenta,hey desacelera en este momento,null,lenta
prendida,detenida,desactivate ahora,apagar,detenida
adelante + izquierda,normal,silla derecha,adelante,normal
prendida,detenida,silla derecho normal,adelante,normal
apagado,detenida,activate de una,prender,detenida
prendida,detenida,VE HACIA ADELANTE AHORITA,adelante,normal
adelante,normal,OYE VE DESPACIO AHORITA,adelante,lenta
prendida,lenta,recula,atras,null
adelante,normal,a la derecha ya!!,adelante + derecha,normal
adelante,normal,voltea a la derecha,adelante + derecha,normal
prendida,detenida,dale para enfrente suavecito,adelante,lenta
apagado,detenida,Enciendete de uNa ahorIta,prender,detenida
prendida,detenida,por favor pa' la dereChA ahoriTa,derecha,normal
prendida,detenida,dobla a la derecha ya,derecha,null
prendida,normal,mete velocidad,null,rapido
prendida,detenida,hey descansa ya,apagar,detenida
adelante,lenta,HeY gIrA derecha aHoriTa,adelante + derecha,lenta
prendida,detenida,vamos AdelAnte por favor,adelante,null
apagado,detenida,arranca en corto,prender,detenida
prendida,rapido,por favor vamos atras ahorita,atras,null
prendida,detenida,dobla a la derecha,derecha,null
apagado,detenida,prender,prender,detenida
apagado,detenida,INICIA EN FRIEGA,prender,detenida
adelante,lenta,silla mueve a la izquierda,adelante + izquierda,lenta
prendida,detenida,dobla a la derecha ya,derecha,null
apagado,detenida,prendete ahorita,prender,detenida
adelante + derecha,lenta,izquierda,adelante,lenta
adelante,normal,aumenta la velocidad,adelante,rapido
prendida,detenida,apaga en friega ahora,apagar,detenida
adelante,lenta,manten velocidad normal ahora de inmediato,adelante,normal
izquierda,normal,por favor mas rapido en corto!,izquierda,rapido
apagado,detenida,por faVor ArrancA de unA!!,prender,detenida
prendida,detenida,desconectate en corto ahorita!,apagar,detenida
prendida,detenida,Derecha,derecha,null
adelante,detenida,poNlo NormAl,adelante,normal
prendida,detenida,oye para atras lento,atras,lenta
prendida,detenida,Silla Dale De Frente Tranqui Por Favor!,adelante,lenta
prendida,detenida,oye continua hacia adelante,adelante,null
adelante + derecha,lenta,a la izquierda,adelante,lenta
adelante + derecha,rapido,por favor dobla a la izquierda,adelante,rapido
prendida,detenida,AVANZA UN POCO,adelante,null
adelante + derecha,lenta,pa enfrente ahorita,adelante,lenta
prendida,detenida,hEy echate para aTrAs,atras,null
apagado,detenida,por favor prende de una,prender,detenida
derecha,detenida,manten velocidad normal ahorita ahora,derecha,normal
adelante + derecha,normal,voltea a la izquierda,adelante,normal
adelante,lenta,silla gira izquierda de inmediato!!,adelante + izquierda,lenta
adelante + derecha,lenta,OYE VOLTEA A LA IZQUIERDA AHORA,adelante,lenta
adelante,normal,oye voltea a la izquierda?,adelante + izquierda,normal
prendida,detenida,arrAnCaTe hacIa aDeLante,adelante,normal
prendida,detenida,silla apaga!!,apagar,detenida
prendida,detenida,oye a la IZquierda suaVeciTo por favor!,izquierda,lenta
apagado,detenida,silla prende ahora,prender,detenida
atras,normal,hey manten velocidad normal ahora por favor,atras,normal
prendida,detenida,hey da reversa de inmediato??,atras,null
prendida,lenta,silla pa atras por favor,atras,null
prendida,normal,muevEte atrAs,atras,null
prendida,detenida,Oye Acelera En Friega De Inmediato,null,rapido
adelante,detenida,gira a la izquierda de inmediato,adelante + izquierda,detenida
prendida,detenida,dale de frente ahorita,adelante,normal
adelante,lenta,HEY DOBLA A LA IZQUIERDA AHORA,adelante + izquierda,lenta
prendida,detenida,DALE HACIA ADELANTE YA,adelante,normal
adelante,normal,GIra Derecha,adelante + derecha,normal
atras,lenta,incrementa la velocidad,atras,rapido
prendida,detenida,continua hacia adelante ya,adelante,null
prendida,detenida,Hey Gira A La Izquierda,izquierda,null
adelante,normal,Dobla A La Izquierda,adelante + izquierda,normal
prendida,normal,ve despacio en corto,null,lenta
adelante,lenta,gira derecha ahorita,adelante + derecha,lenta
adelante,rapido,a velocidad normal,adelante,normal
prendida,detenida,oye mueve a la derecha ahora,derecha,null
adelante + derecha,normal,a la izquierda,adelante,normal
prendida,detenida,sillA deScoNecTAte eN corto!!,apagar,detenida
prendida,detenida,arrancate al frente ahora,adelante,normal
prendida,lenta,hey reversa,atras,null
prendida,detenida,por favor retrocede mete velocidad,atras,rapido
prendida,detenida,oye al frente con cuidado ya,adelante,lenta
adelante,detenida,por favor izquierda,adelante + izquierda,detenida
adelante,lenta,por favor voltea a la derecha!,adelante + derecha,lenta
adelante,lenta,hey mueve a la derecha,adelante + derecha,lenta
prendida,detenida,baja a normal,null,normal
prendida,normal,mas rapido en este momento,null,rapido
prendida,detenida,hey mete mas velocidad por favor,null,rapido
atras,detenida,desacelera de una ahora,atras,lenta
prendida,detenida,hey reversa velocidad normal ahora,atras,normal
adelante,lenta,oye mas lento ya,adelante,lenta
prendida,detenida,por favor dobla a la derecha,derecha,null
prendida,detenida,rueda hacia atras tranqui ahorita,atras,lenta
adelante,normal,hey gira a la izquierda por favor,adelante + izquierda,normal
prendida,detenida,avanza un poco,adelante,null
adelante,normal,giRa derecha,adelante + derecha,normal
atras,lenta,mas despacio!!,atras,lenta
apagado,detenida,oye arranca ahorita...,prender,detenida
adelante,normal,por favor derecha,adelante + derecha,normal
adelante,rapido,oye derecha por favor,adelante + derecha,rapido
prendida,detenida,echale hacia atras lento ya,atras,lenta
adelante,lenta,silla dobla a la izquierda,adelante + izquierda,lenta
prendida,detenida,hey mas lento ya por favor,null,lenta
prendida,detenida,HEY TUERCE PARA LA DERECHA POR FAVOR,derecha,normal
adelante + derecha,normal,sIlla mUeVe a lA izquierda,adelante,normal
prendida,detenida,gira a la izquierda,izquierda,null
prendida,detenida,ve hacia adelante ponlo normal!!,adelante,normal
prendida,detenida,Por Favor Echale Para Enfrente De Inmediato,adelante,null
prendida,lenta,Pa Atras,atras,null
adelante,detenida,Reduce La Velocidad En Corto Ahorita?,adelante,lenta
prendida,detenida,Oye voltEa a la IzquIerDa...,izquierda,null
adelante + izquierda,normal,PA eNFrente,adelante,normal
adelante,lenta,hey derecha,adelante + derecha,lenta
adelante + derecha,lenta,CONTINUA HACIA ADELANTE AHORA,adelante,lenta
prendida,detenida,ve hacia atras,atras,null
prendida,detenida,dale adelante ahorita,adelante,null
prendida,rapido,dale adelante,adelante,null
adelante,normal,a la izquierda ahora,adelante + izquierda,normal
adelante + izquierda,normal,A La Derecha...,adelante,normal
adelante + izquierda,rapido,Mueve A La Derecha De Inmediato,adelante,rapido
adelante,rapido,modo normal ya ahorita,adelante,normal
prendida,rapido,REVERSA DE INMEDIATO,atras,null
adelante,lenta,voltea a la derecha ahora,adelante + derecha,lenta
prendida,detenida,derecho con cuidado,adelante,lenta
prendida,detenida,para adelante a velocidad normal,adelante,normal
izquierda,lenta,reduce un poco la velocidad,izquierda,normal
prendida,detenida,silla a la izquierda lento,izquierda,lenta
adelante,rapido,mueve a la izquierda,adelante + izquierda,rapido
prendida,detenida,apaga en este momento,apagar,detenida
adelante,rapido,Dobla A La Izquierda Por Favor!!,adelante + izquierda,rapido
prendida,detenida,Gira A La Izquierda,izquierda,null
prendida,lenta,oye ve despacio en este momento ya?,null,lenta
adelante,rapido,por favor dobla a la izquierda,adelante + izquierda,rapido
prendida,detenida,silla desconectate en friega,apagar,detenida
adelante + derecha,normal,Oye Continua Hacia Adelante!!,adelante,normal
prendida,detenida,hey rueda hacia adelante a velocidad normal por favor,adelante,normal
adelante,rapido,gira derecha!!,adelante + derecha,rapido
adelante + izquierda,normal,derecha por favor,adelante,normal
prendida,detenida,MUEVETE EN REVERSA APURATE,atras,rapido
adelante,lenta,Oye Dobla A La Derecha,adelante + derecha,lenta
prendida,detenida,ve hacia atras rapido,atras,rapido
adelante + izquierda,rapido,por favor a la derecha ahorita,adelante,rapido
adelante + izquierda,rapido,oye voltea a la derecha ahora,adelante,rapido
adelante,rapido,a velocidad normal de inmediato,adelante,normal
prendida,detenida,silla para enfrente acelera mas??,adelante,rapido
prendida,detenida,SILLA MUEVETE PARA LA IZQUIERDA LENTO,izquierda,lenta
prendida,normal,oye no tan rapido de una ahora,null,lenta
prendida,detenida,HEy ve pAra enfrente dE iNMEdiato,adelante,normal
prendida,detenida,por favor hazte para atras,atras,null
prendida,detenida,silla ve de frente con cuidado ya,adelante,lenta
apagado,detenida,arranca,prender,detenida
adelante + derecha,rapido,hey gira a la izquierda ahora,adelante,rapido
atras,lenta,Silla Con Calma En Corto,atras,lenta
prendida,lenta,Mete Mas Velocidad De Una Ahorita!,null,rapido
prendida,detenida,Continua Hacia Adelante,adelante,null
adelante,normal,silla dobla a la derecha!,adelante + derecha,normal
prendida,detenida,dobla pa' la izquierda normal de inmediato,izquierda,normal
adelante,normal,Gira Derecha Por Favor,adelante + derecha,normal
adelante,normal,a la derecha ahorita,adelante + derecha,normal
prendida,lenta,mete mas velocidad en corto,null,rapido
adelante + izquierda,normal,avanza un poco,adelante,normal
atras,normal,con mas velocidad ya,atras,rapido
prendida,lenta,para atras ahorita??,atras,null
atras,lenta,normal en friega,atras,normal
prendida,detenida,dale adelante...,adelante,null
adelante,lenta,hey subele la velocidad en friega,adelante,rapido
prendida,detenida,silla ve de reversa mete velocidad,atras,rapido
adelante,lenta,mueve a la izquierda ya.,adelante + izquierda,lenta
prendida,normal,silla hazte para atras ahorita,atras,null
atras,normal,MODO NORMAL YA AHORA.,atras,normal
prendida,lenta,por favor manten velocidad normal ya?,null,normal
derecha,rapido,hey ponlo normal de inmediato,derecha,normal
adelante,detenida,silla derecha,adelante + derecha,detenida
adelante,lenta,voltea a la izquierda ya,adelante + izquierda,lenta
prendida,detenida,apaga en corto ahora!!,apagar,detenida
prendida,detenida,para atras con mas velocidad,atras,rapido
prendida,detenida,oye gira a la derecha,derecha,null
adelante,detenida,voltea a la izquierda ahora...,adelante + izquierda,detenida
adelante + derecha,detenida,por favor izquierda,adelante,detenida
adelante + derecha,rapido,POR FAVOR PARA ENFRENTE...,adelante,rapido
prendida,detenida,voltea a la izquierda ahora,izquierda,null
adelante,normal,hey a velocidad normal de una,adelante,normal
prendida,detenida,sigue hacia atras por favor,atras,normal
prendida,lenta,por favor aumenta la velocidad en este momento.,null,rapido
apagado,detenida,ARRANCA YA,prender,detenida
prendida,detenida,oye ve hacia adelante velocidad normal ahorita,adelante,normal
prendida,detenida,por favor vamos adelante ahorita!!,adelante,null
adelante + derecha,normal,hey para enfrente ahorita,adelante,normal
adelante,normal,mueve a la derecha ahora,adelante + derecha,normal
prendida,detenida,hey sigue adelante,adelante,null
prendida,detenida,OYE HAZTE PARA ATRAS POR FAVOR!,atras,null
prendida,detenida,apagate en friega,apagar,detenida
prendida,lenta,por favor normal en friega,null,normal
prendida,detenida,hey muevete adelante,adelante,null
prendida,detenida,por favor retrocede,atras,null
prendida,detenida,silla descansa,apagar,detenida
adelante,lenta,mueve a la derecha,adelante + derecha,lenta
prendida,detenida,oye echale de reversa mete velocidad,atras,rapido
adelante,lenta,Derecha,adelante + derecha,lenta
atras,lenta,velocidad normal ahorita,atras,normal
prendida,detenida,SILLA VOLTEA A LA DERECHA YA,derecha,null
adelante + izquierda,normal,gira derecha de inmediato,adelante,normal
apagado,detenida,arranca de una ahora!,prender,detenida
adelante,lenta,mas rapido ya,adelante,rapido
adelante,detenida,oye mueve a la izquierda,adelante + izquierda,detenida
adelante,rapido,reduce un poco la velocidad,adelante,normal
prendida,detenida,APAGUETE,apagar,detenida
adelante,normal,gira izquierda,adelante + izquierda,normal
prendida,detenida,por favor da reversa,atras,null
adelante,detenida,silla manten velocidad normal ahora,adelante,normal
prendida,normal,despacio,null,lenta
prendida,detenida,por favor a la izquierda,izquierda,null
prendida,detenida,por favor derecha lenta!,derecha,lenta
izquierda,normal,silla a velocidad normal ya,izquierda,normal
adelante,normal,gira izquierda de inmediato,adelante + izquierda,normal
prendida,normal,Oye Echale Para Enfrente,adelante,null
adelante + derecha,lenta,avanza un poco ahora,adelante,lenta
adelante + derecha,normal,muevete adelante,adelante,normal
adelante,lenta,hey mueve a la izquierda,adelante + izquierda,lenta
prendida,detenida,hey baja la velocidad ya,null,lenta
prendida,normal,lenta de inmediato,null,lenta
adelante + izquierda,lenta,voltea a la derecha,adelante,lenta
derecha,detenida,silla normal ya!!,derecha,normal
prendida,detenida,gira a la derecha con cuidado por favor,derecha,lenta
atras,lenta,Aumenta La Velocidad Ya Ya...,atras,rapido
apagado,detenida,hey inicia de inmediato,prender,detenida
prendida,detenida,echale para enfrente,adelante,null
prendida,detenida,Silla Adelantate A Velocidad Normal,adelante,normal
prendida,detenida,reversa,atras,null
adelante + derecha,lenta,Mueve a la izquierda Ya,adelante,lenta
adelante,normal,por favor a la izquierda,adelante + izquierda,normal
prendida,detenida,Apagar Ahorita,apagar,detenida
prendida,normal,hey subele la velocidad en corto??,null,rapido
prendida,detenida,muevete adelante,adelante,null
prendida,detenida,silla para la derecha rapido ya,derecha,rapido
adelante,detenida,hey muevE a la derecha por Favor,adelante + derecha,detenida
atras,normal,hey SUbele LA veLoCidad en friegA,atras,rapido
apagado,detenida,oye enciendete ahorita,prender,detenida
prendida,detenida,rueda hacia atras con mas velocidad.,atras,rapido
atras,normal,no tan rapido de inmediato,atras,lenta
prendida,detenida,Ve Hacia Atras,atras,null
adelante + derecha,normal,Ve Hacia Adelante,adelante,normal
prendida,detenida,dale derecho mete velocidad ahorita,adelante,rapido
prendida,detenida,arrancate hacia adelante con cuidado ya,adelante,lenta
prendida,detenida,por favor gira a la izquierda,izquierda,null
prendida,detenida,atras ponlo normal ahorita,atras,normal
adelante,lenta,por favor izquierda ahora.,adelante + izquierda,lenta
adelante,normal,Dobla A La Derecha De Inmediato,adelante + derecha,normal
prendida,lenta,velocidad normal ahora,null,normal
prendida,detenida,dobla a la derecha suavecito?,derecha,lenta
prendida,detenida,vamos adelante,adelante,null
adelante,normal,GIRA IZQUIERDA,adelante + izquierda,normal
prendida,detenida,a la derecha ahora,derecha,null
prendida,detenida,voltea a la izquierda ya??,izquierda,null
adelante + derecha,rapido,hey mueve a la izquierda por favor?,adelante,rapido
prendida,detenida,avanza de inmediato,adelante,null
prendida,detenida,oye apaga de inmediato!,apagar,detenida
apagado,detenida,enciendete ahorita,prender,detenida
